sh510300,300ETF
year,每周定额购买，盈利5%卖出,每周定额购买，盈利6%卖出,每周定额购买，盈利10%卖出,每周定额购买，盈利20%卖出,每周根据当前盈亏比例购买，盈利5%卖出,每周根据当前盈亏比例购买，盈利6%卖出,每周根据当前盈亏比例购买，盈利10%卖出,每周根据当前盈亏比例购买，盈利20%卖出,每周根据深圳指数市盈率倍数购买，超过60倍卖出,每周根据深圳指数市盈率4分位购买，超过50倍卖出,每周根据深圳指数市盈率4分位购买，赚6%卖出,每周根据深圳指数市盈率4分位购买，赚10%卖出,每周根据深圳指数市盈率4分位购买，赚20%卖出
2012,-7.3%,-2.0%,-59.0%,-59.0%,-4.1%,-0.0%,-59.1%,-59.1%,-58.8%,-58.9%,-1.4%,-58.1%,-58.9%,
2013,14.3%,15.7%,3.5%,3.5%,12.4%,12.3%,4.7%,4.6%,2.8%,3.1%,10.2%,10.6%,3.1%,
2014,-8.2%,-8.2%,-8.6%,-8.6%,-5.1%,-4.8%,-5.3%,-5.2%,3.1%,-1.2%,-1.2%,-1.2%,-1.2%,
2015,-1.4%,-1.4%,1.4%,17.1%,-1.6%,-0.1%,-0.3%,12.6%,-0.0%,0.5%,0.6%,21.6%,38.5%,
2016,14.5%,14.5%,14.5%,13.5%,15.1%,15.1%,15.1%,14.0%,,14.3%,15.8%,-1.4%,-2.5%,
2017,-9.8%,-9.8%,-9.8%,-15.5%,-8.6%,-8.6%,-9.1%,-15.0%,37.7%,-17.5%,-10.8%,-11.7%,-17.5%,
2018,26.1%,26.1%,32.3%,25.0%,24.7%,24.7%,27.9%,27.4%,9.2%,26.4%,26.5%,29.3%,26.4%,
2019,-20.9%,-20.9%,-20.9%,-20.9%,-19.8%,-19.8%,-19.8%,-19.8%,-20.4%,-20.5%,-20.5%,-20.5%,-20.5%,
2020,-4.9%,-4.9%,-4.9%,-4.9%,-2.7%,-2.7%,-2.7%,-2.7%,-2.1%,-4.4%,-4.4%,-4.4%,-4.4%,
累计收益,18.1%,20.5%,-47.1%,-13.2%,20.6%,24.6%,-53.5%,-30.4%,-25.1%,-43.8%,13.3%,-7.7%,-24.5%,
