sh510880,红利ETF
year,每周定额购买，盈利6%卖出,每周定额购买，盈利10%卖出,每周定额购买，盈利20%卖出,每周根据当前盈亏比例购买，盈利6%卖出,每周根据当前盈亏比例购买，盈利10%卖出,每周根据当前盈亏比例购买，盈利20%卖出,每周根据深圳指数市盈率倍数购买，超过60倍卖出,每周根据深圳指数市盈率4分位购买，超过50倍卖出,每周根据深圳指数市盈率4分位购买，赚6%卖出,每周根据深圳指数市盈率4分位购买，赚10%卖出,每周根据深圳指数市盈率4分位购买，赚20%卖出
2006,-90.1%,12.2%,-100.0%,-90.1%,13.5%,-100.0%,-100.0%,-100.0%,-90.1%,12.2%,-100.0%,
2007,-94.3%,-97.8%,-94.9%,114.0%,-97.9%,-94.8%,0.0%,409.4%,248.0%,39.2%,916.0%,
2008,-99.2%,-100.0%,-100.0%,,-100.0%,-100.0%,-100.0%,-100.0%,-99.2%,-100.0%,-100.0%,
2009,218.2%,214.3%,264.9%,,507.9%,522.7%,-100.0%,-100.0%,757.9%,392.2%,267.2%,
2010,2.3%,-100.0%,-100.0%,,-100.0%,-100.0%,-100.0%,-100.0%,8.6%,10.2%,-100.0%,
2011,-99.9%,-100.0%,-100.0%,,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,
2012,-100.0%,-100.0%,-100.0%,,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,
2013,1799.4%,-100.0%,-100.0%,,-100.0%,-100.0%,-100.0%,-100.0%,1646.7%,1304.6%,-100.0%,
2014,149.5%,554.1%,592.7%,,477.4%,549.9%,-100.0%,-100.0%,160.9%,135.5%,535.4%,
2015,-97.9%,-97.8%,-97.6%,,-97.8%,-99.0%,0.0%,17118.0%,41.3%,73.2%,27.5%,
2016,65.5%,-100.0%,-100.0%,,-100.0%,-100.0%,,-100.0%,6.7%,51.3%,-100.0%,
2017,4.2%,255.6%,-100.0%,,444.6%,561.5%,-100.0%,-100.0%,-15.5%,-7.0%,91.8%,
2018,-100.0%,-100.0%,-100.0%,,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,
2019,197.8%,-100.0%,-100.0%,,-100.0%,-100.0%,-100.0%,-100.0%,138.9%,128.2%,-100.0%,
2020,-100.0%,-100.0%,-100.0%,,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,
最近2年,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
最近3年,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
最近5年,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
累计收益,-9.5%,-15.7%,-33.7%,12.0%,-11.5%,18.2%,59.4%,50.8%,-22.1%,-6.9%,-7.0%,
