sz159905,深红利,,,,,,,,,,
year,每周定额购买，盈利6%卖出,每周定额购买，盈利10%卖出,每周定额购买，盈利20%卖出,每周根据当前盈亏比例购买，盈利6%卖出,每周根据当前盈亏比例购买，盈利10%卖出,每周根据当前盈亏比例购买，盈利20%卖出,每周根据深圳指数市盈率倍数购买，超过60倍卖出,每周根据深圳指数市盈率4分位购买，超过50倍卖出,每周根据深圳指数市盈率4分位购买，赚6%卖出,每周根据深圳指数市盈率4分位购买，赚10%卖出,每周根据深圳指数市盈率4分位购买，赚20%卖出
2011,-21.30%,-23.00%,-23.00%,-17.40%,-18.90%,-18.90%,-17.40%,-20.40%,-20.40%,-20.40%,-20.40%
2012,6.80%,7.40%,7.40%,8.20%,8.50%,8.50%,4.70%,5.50%,5.50%,5.50%,5.50%
2013,-9.00%,-9.30%,-9.30%,-9.00%,-9.40%,-9.40%,-8.80%,-9.40%,-9.40%,-9.40%,-9.40%
2014,57.50%,79.80%,116.00%,50.30%,76.80%,125.20%,251.10%,223.60%,64.90%,79.50%,128.10%
2015,11.80%,21.50%,14.70%,11.50%,21.00%,19.20%,0.00%,2571.50%,0.00%,29.40%,62.60%
2016,8.70%,10.40%,3.10%,8.90%,9.90%,4.50%,0.00%,6.30%,7.10%,10.80%,6.30%
2017,30.80%,30.80%,102.10%,31.70%,30.20%,290.50%,34.80%,46.00%,16.80%,20.30%,45.70%
2018,-16.80%,-16.50%,-30.50%,-13.50%,-12.90%,-14.20%,-12.00%,-34.90%,-12.70%,-12.30%,-13.70%
2019,187.00%,251.70%,190.40%,215.90%,273.90%,364.00%,58.90%,92.00%,183.60%,231.40%,219.50%
2020,20.60%,0.00%,34.40%,9.50%,0.00%,39.10%,66.00%,69.70%,75.70%,0.00%,42.00%
最近1年,13.80%,51.40%,33.40%,35.00%,52.00%,37.20%,79.30%,92.40%,18.10%,49.10%,40.60%
最近2年,66.70%,99.40%,126.60%,51.50%,82.00%,117.60%,52.10%,71.00%,54.30%,81.50%,114.30%
最近3年,21.20%,46.30%,80.20%,15.50%,34.00%,51.90%,37.90%,45.30%,17.90%,34.20%,56.20%
最近5年,66.20%,141.30%,70.80%,59.40%,123.90%,91.30%,37.70%,43.80%,22.10%,39.70%,69.10%
累计收益,16.40%,27.20%,50.40%,13.90%,25.20%,43.00%,122.20%,127.20%,14.70%,23.20%,41.90%
